title,journal,year,keywords
Web Services Attacks and Security- A Systematic Literature Review,Procedia Computer Science,2016,"Web services, Systematic literature review, Attacks, Security"
Compressed sensing method for human activity recognition using tri-axis accelerometer on mobile phone,The Journal of China Universities of Posts and Telecommunications,2017,"activity recognition, compressed sensing, mobile phone accelerometer, phone placements"
FM: Flexible mapping from one gesture to multiple semantics,Information Sciences,2018,"Cognitive load, Flexible mapping, User's interaction intention"
Building dynamic capabilities for digital transformation: An ongoing process of strategic renewal,Long Range Planning,2019,"Dynamic capabilities, Digital transformation, Digitalization, Microfoundations, Qualitative interpretive research, Strategic agility, Strategic renewal, Technology and innovation management"
A Turning Model of Agricultural Robot Based on Acceleration Sensor,IFAC-PapersOnLine,2016,"Agricultural robot, Navigation, Acceleration sensor, Turning angle"
Efficient mining fuzzy association rules from ubiquitous data streams,Alexandria Engineering Journal,2015,"Data mining, Fuzzy association rules, Fuzzy sets, Data streams, Ubiquitous data streams"
A Study on Intrusion Detection Using Centroid-Based Classification,Procedia Computer Science,2017,"Intrusion Detection System, Hybrid Classifiers, Centroid-Based Classification, Representative Feature"
Domain independent regulative norms for evaluating performance of assistive solutions,Pervasive and Mobile Computing,2017,"Pervasive computing, Monitoring, Elderly, Tremors, Finger tapping, Simulation, Self-determination theory"
Advanced Healthcare Services Enabled by a Computerized Pain Body Map,Procedia Computer Science,2016,"pain body map, CPBM, cancer pain, patient-centered design, clinical tools"
Trust-based Voting Method for Efficient Malware Detection,Procedia Computer Science,2016,"Computer security, Data Mining, Ensemble, Feature Extraction, Feature selection, Machine learning, Malware, Majority voting, Veto Voting"
Automatic data integration from Moodle course logs to pivot tables for time series cross section analysis,Procedia Computer Science,2017,"time series, cross section, page views, visualization, educational data mining, Moodle, pivot table, data integration"
Development capabilities for smart products,CIRP Annals,2019,"Design, Product development, Model-based systems engineering"
Frameworks for citizens participation in planning: From conversational to smart tools,Sustainable Cities and Society,2019,"Social innovation frameworks, Engagement tools, Citizen participation, Smart city technologies, Architecture"
Web Services Recommendation Leveraging Semantic Similarity Computing,Procedia Computer Science,2018,"Dynamic Programming, Genetic Algorithm, Service Composition, Service Recommendation"
A security authorization scheme for smart home Internet of Things devices,Future Generation Computer Systems,2018,"IoT, Security, Identity, Embedded, Cloud computing, Smart home"
The OCarePlatform: A context-aware system to support independent living,Computer Methods and Programs in Biomedicine,2017,"eCare, Ontologies, SOA, OSGi"
A Proactive Trickle-based Mechanism for Discovering CoRE Resource Directories,Procedia Computer Science,2016,"Resource Directory, Constrained Application Protocol (CoAP), Internet of Things, The Trickle Algorithm."
A CoAP-based framework for collaborative sensing in the Semantic Web of Things,Procedia Computer Science,2017,"Semantic Web of Things, CoAP, Collaborative sensing, Resource discovery, Matchmaking, Data mining"
From action to activity: Sensor-based activity recognition,Neurocomputing,2016,"Activity recognition, Temporal pattern mining, Sensor-generated data, Discriminative feature extraction"
Smart city and quality of life: Citizens’ perception in a Brazilian case study,Journal of Cleaner Production,2018,"Smart city, Quality of life, Citizens’ perception, Curitiba"
Extending the TAM for Green IT: A normative perspective,Computers in Human Behavior,2018,"Green IT, Technology acceptance model (TAM), Social norm, Descriptive norm, Injunctive norm, Personal norm, Government regulations, Environmental beliefs"
A Refinement of Lasso Regression Applied to Temperature Forecasting,Procedia Computer Science,2018,"Home Sensor Network, Temperature Forecasting, Lasso regression, Feature Selection, Model Predictive Control, Energy Efficiency, Internet of Things"
Probabilistic ontology based activity recognition in smart homes using Markov Logic Network,Knowledge-Based Systems,2017,"Smart homes, Activity recognition, Ontology, Probabilistic approach, Markov Logic Network"
"Towards computational models of animal communications, an introduction for computer scientists",Cognitive Systems Research,2015,"Reliability of animal communication, Animal communication network, Handicap principle, Eavesdropping, Extended evolutionary game theory, Signal honesty"
Incorporating the concept of systematic innovation into quality function deployment for developing multi-functional smart phones,Computers & Industrial Engineering,2017,"QFD, TRIZ, Market segmentation, Innovative design, Smartphone"
"Multimedia augmented m-learning: Issues, trends and open challenges",International Journal of Information Management,2016,"Mobile learning, Cloud learning, Multimedia-enabled learning, Personalized learning"
Perception-enhancement based task learning and action scheduling for robotic limb in CPS environment,Future Generation Computer Systems,2018,"CPS, Perception, Task learning, Robotic limb, Semantic, Service robot"
Towards secure big data analytic for cloud-enabled applications with fully homomorphic encryption,Journal of Parallel and Distributed Computing,2019,"Cloud computing, Big data, Distributed analytic, Fully homomorphic encryption"
A critical review of mobile payment research,Electronic Commerce Research and Applications,2015,"Mobile payments, Literature review"
LEATCH: Low Energy Adaptive Tier Clustering Hierarchy,Procedia Computer Science,2015,"wireless sensor networks, routing, LEACH, clustering, latency, coverage, energy efficiency, scalability"
New perspectives on gray sheep behavior in E-commerce recommendations,Journal of Retailing and Consumer Services,2019,"Personalization, Gray Sheep Users, Psychographic models, Cross Domain Recommender Systems, Context Aware Recommender Systems, Collaborative Filtering"
Asymptotic shapley value based resource allocation scheme for IoT services,Computer Networks,2016,"Internet of Things, Hierarchical bandwidth allocation, Shapley value, Game theory, Two-stage cooperative game model"
The effect of ICT use and capability on knowledge-based cities,Cities,2017,"Information society, ICT indices, Indicators, Intellectual capital, European cities"
IoT Based Real-time River Water Quality Monitoring System,Procedia Computer Science,2019,"Water quality monitoring, sensors, Big Data Analytics System, Internet of things, Real-time"
Wearable technology: What explains continuance intention in smartwatches?,Journal of Retailing and Consumer Services,2018,"Smartwatches, Wearables, Continuance intention, Expectation-confirmation model (ECM), Habit, Perceived usability"
Context awareness for maintenance decision making: A diagnosis and prognosis approach,Measurement,2015,"Context-driven, eMaintenance, Condition monitoring, Condition based maintenance, Diagnosis, Prognosis"
Crowd social media computing: Applying crowd computing techniques to social media,Applied Soft Computing,2018,"Social media, Crowd computing, Return of investment, Audience engagement"
Wavelet against random forest for anomaly mitigation in software-defined networking,Applied Soft Computing,2019,"Software-defined networking, Anomaly detection, Wavelet, Random forest"
Online purchase decisions for tourism e-commerce,Electronic Commerce Research and Applications,2019,"Purchase prediction, Tourism E-commerce, Clickstream data, Classification, Logistic regression, Semi-supervised learning, Multi-view learning"
Mining Neuroscience Data for Social Campaign Evaluation,Procedia Computer Science,2018,"Data Mining, Cognitive neuroscience, Social campaign"
Domain-specific innovativeness and new product adoption: A case of wearable devices,Telematics and Informatics,2017,"Domain-specific innovativeness, Product-possessing innovativeness, Information-possessing innovativeness, Wearable devices"
Identification of interactions between digital technologies in manufacturing systems,Procedia CIRP,2019,"Digital Manufacturing System, Manufacturing process, Digital technology"
User review portability: Why and how?,Computer Law & Security Review,2018,"User reviews, Reputation system, Right to data portability, Article 20 of GDPR, Intellectual Property, Personal Information Management Services (PIMS)"
An investigation of multiple devices and information sources used in the hotel booking process,Tourism Management,2016,"Hotel booking, Tablet, Smartphone, Information sources, Multi devices, Channel management"
Context-aware Scheduling for Apache Hadoop over Pervasive Environments,Procedia Computer Science,2015,"Context-Awareness, Map Reduce, Apache Hadoop, Task Scheduling, Pervasive Grid, Big Data"
Just a Smart Home or Your Smart Home – A Framework for Personalized User Interfaces Based on Eclipse Smart Home and Universal Remote Console,Procedia Computer Science,2016,"Smart Home, AAL, Personalisation, User Interface, Eclipse Smart Home, Universal Remote Console"
Sensor virtualization Middleware design for Ambient Assisted Living based on the Priority packet processing,Procedia Computer Science,2019,"AAL, Sensor Virtualization, Middleware layer, sensing nodes"
Identifying HCI approaches to support CMMI-DEV for interactive system development,Computer Standards & Interfaces,2018,"Capability Maturity Model Integration, CMMI-DEV, Human–Computer Interaction, Interactive systems"
Smart Augmented Fields for Emergency Operations,Procedia Computer Science,2015,"Healthcare, Emergency Management, Augmented Reality, Hands-free"
"IoT, big data and HPC based smart flood management framework",Sustainable Computing: Informatics and Systems,2018,"Internet of things (IoT), Cloud computing, Big data and HPC convergence, Single value decomposition (SVD), K-mean clustering, Holt-Winter’s forecasting"
The specification and design of secure context-aware workflows,Expert Systems with Applications,2017,"Workflows, Context-aware, Security, Specification"
Optimizing multi-sensor deployment via ensemble pruning for wearable activity recognition,Information Fusion,2018,"Multi-sensor data fusion, Human activity recognition, Ensemble pruning, Body sensor networks"
The Lead Time Syndrome of Manufacturing Control: Comparison of Two Independent Research Approaches,Procedia CIRP,2016,"Control-theoretic simulation, production planning and control, manufacturing control, logistic target achievemen"
Performance analysis of content discovery for ad-hoc tactile networks,Future Generation Computer Systems,2019,"Tactile internet, Mobility models, Content discovery, MANETs"
A novel radio map construction method to reduce collection effort for indoor localization,Measurement,2016,"Indoor localization, Fingerprinting, Bayesian approach, Voronoi diagram, Radio map construction"
Green Freight Movement: The Dilemma of the Shifting of Road Freight to Alternatives,Transportation Research Procedia,2017,"Egypt, Intermodality, GDP"
Scientific development of smart farming technologies and their application in Brazil,Information Processing in Agriculture,2018,"Agricultural innovation, Big data, Data in agriculture, Information technology, Text mining"
Big Data Storage in the Cloud for Smart Environment Monitoring,Procedia Computer Science,2015,"Big Data, Storage system, Smart environment, Sensing, IoT, Cloud, SWE"
Inspection game based cooperative spectrum sensing and sharing scheme for cognitive radio IoT system,Computer Communications,2017,"Inspection game, Cooperative spectrum sensing, Cognitive radio, Internet of Things, Relative utilitarian bargaining solution, Reciprocal fairness"
COALAA-GEN: A General Adaptive Approach for Ambient Assistive Applications,Procedia Computer Science,2016,"adaptativity, multi-dimensionality, cooperation, assistive applications, multi-agent systems"
Proposing hierarchy-similarity based access control framework: A multilevel Electronic Health Record data sharing approach for interoperable environment,Journal of King Saud University - Computer and Information Sciences,2017,"Access control policies, Electronic Health Records (EHR), Hierarchical Similarity Analyzer (HSA), Interoperable healthcare environment, Security"
Real-Time Optimal Scheduling of a Group of Elevators in a Multi-Story Robotic Fully-Automated Parking Structure,Procedia Computer Science,2015,"fully-automated robotic parking, elevator scheduling, real-time, optimal, genetic algorithm, queuing theory, nested partition"
Activity Detection in Smart Home Environment,Procedia Computer Science,2016,"event recognition, activity detection, data filtering, Internet of Things"
Segmenting human activities based on HMMs using smartphone inertial sensors,Pervasive and Mobile Computing,2016,"Human Activity Segmentation, Hidden Markov Models, Smartphone inertial sensors, Activity Sequence Model"
Development and validation of New Media Literacy Scale (NMLS) for university students,Computers in Human Behavior,2016,"New media literacy, Scale development, University students, Validity, Reliability"
Can new communication technology promote sustainable transport?,Energy Procedia,2017,"global climate change, ICTs, smart transport, sustainable transport, travel substitution"
Digital media use in the 2 h before bedtime is associated with sleep variables in university students,Computers in Human Behavior,2016,"Digital media, Sleep, Mental health, Technology, University students"
Design and Realization of Low Cost Control for Greenhouse Environment with Remote Control,IFAC-PapersOnLine,2015,"Arduino, automation, sensor, actuator, visualization, greenhouse"
When sensing goes pervasive,Pervasive and Mobile Computing,2015,"Pervasive sensing, Wireless sensor networks, Human-centric sensing, Smartphones, Wearables"
MOSS-IR: Multi-Ontology Based Search System for Information Retrieval in E-health Domain,Procedia Computer Science,2015,"Ontology, Semantic Web, Query expansion, Reasoning."
Designing wearable vibrotactile notifications for information communication,International Journal of Human-Computer Studies,2016,"Wearable vibrotactile design, Haptics, Information communication, Human factors"
From Mobile Data Towards Better Customer Knowledge: Proposals for an Information Framework,Procedia Computer Science,2015,"Mobile data, Mobile marketing, CRM, Customer model"
Effect of penitence on social media trust and privacy concerns: The case of Facebook,International Journal of Information Management,2020,"Apology, Behavioral integrity, Privacy concerns, Trust, Facebook, Social media"
Efficient suspicious URL filtering based on reputation,Journal of Information Security and Applications,2015,"Web attack, Intrusion detection, Honeypot, Sandbox, Reputation"
Enhanced Product Lifecycle Information Management using “communicating materials”,Computer-Aided Design,2015,"Product Lifecycle Management, Closed-Loop Lifecycle Management, Intelligent product, Communicating material, Data synchronization"
An Analysis of Features and Tendencies in Mobile Banking Apps,Procedia Computer Science,2015,"Mobile apps, Mobile banking, Mobile device services, Maturity assessment, Electronic payments."
A Context-based Support System of Mobile Chinese Learning for Foreigners in China,Procedia Computer Science,2015,"Context, Ontology, Semantic Web Rule Language (SWRL), Mobile language learning, E-learning system."
ICT of the new wave of computing for sustainable urban forms: Their big data and context-aware augmented typologies and design concepts,Sustainable Cities and Society,2017,"Sustainable urban forms, Smart sustainable cities, Big data analytics, Context-aware computing, Typologies and design concepts, Technologies and applications, ICT of the new wave of computing"
Extracting and mapping industry 4.0 technologies using wikipedia,Computers in Industry,2018,"Industry 4.0, Digital industry, Industrial IoT, Big data, Digital currency, Programming languages, Computing, Embedded systems, IoT, Internet of things"
Computational sustainability and the PHESS platform: Using affective computing as social indicators,Future Generation Computer Systems,2019,"Intelligent environments, Affective computing, Internet of things, Computational sustainability"
Space vs. Chemical Domains: Virtual and Real Simulation to Increase Safety in Extreme Contexts,Procedia Manufacturing,2015,"Human factors, Safety, Extreme environment, Simulation, 3D, Virtual simulation"
Supporting asynchronization in OpenMP for event-driven programming,Parallel Computing,2019,"OpenMP, Parallel programming model, Event-driven programming, Asynchronous programming"
"Context-Aware Computation Offloading for Mobile Cloud Computing: Requirements Analysis, Survey and Design Guideline",Procedia Computer Science,2015,"Mobile Cloud Computing, Computation Offloading, Context Awareness"
Approach to Describe Knowledge Sharing between Producer and User,Procedia CIRP,2016,"communication, product information, user integration, product design, mass customization"
Advances in Run-time Performance and Interoperability for the Adapteva Epiphany Coprocessor,Procedia Computer Science,2016,"Adapteva Epiphany, many-core, NoC"
"Collecting travel diaries: Current state of the art, best practices, and future research directions",Transportation Research Procedia,2018,"travel diary collection systems, travel mode, destination, purpose inferences, best practices;"
"Generic metadata representation framework for social-based event detection, description, and linkage",Knowledge-Based Systems,2019,"Social media, Metadata, Semantics, Similarity evaluation, Event detection, Event relationships, Collective knowledge"
A Review on Green Building in Vietnam,Procedia Engineering,2016,"green building, Vietnam, sustainable development, climate change"
Modelling the effects of stress on gap-acceptance decisions combining data from driving simulator and physiological sensors,Transportation Research Part F: Traffic Psychology and Behaviour,2018,"Gap-acceptance, Driving stress, Driving simulator, Heart rate, Electrodermal Activity"
Robust Human Activity Recognition using smartwatches and smartphones,Engineering Applications of Artificial Intelligence,2018,"Wearable computing, Activity recognition, Mobile sensing, Feature analysis, Hidden Markov Models, Convolutional Neural Networks, Recurrent Neural Networks, Long–Short Term Memory"
Risk based Security Enforcement in Software Defined Network,Computers & Security,2018,"Software Defined Network (SDN), Network control functions (NF), Common Vulnerability Scoring System (CVSS), Vulnerability, Exposure, Threat, Risk"
Random forest based thermal comfort prediction from gender-specific physiological parameters using wearable sensing technology,Energy and Buildings,2018,"Thermal comfort, Gender, Subjective response, Physiological response, Thermal comfort prediction, Random forest"
Graph-theoretic Surrogate Measures for Analysing the Resilience of Water Distribution Networks,Procedia Engineering,2015,"Water distribution systems, network resilience, graph theory, complex networks"
AEDG: AUV-aided Efficient Data Gathering Routing Protocol for Underwater Wireless Sensor Networks,Procedia Computer Science,2015,"Underwater wireless sensor network, Routing protocol, Mobile sink, Autonomous underwater vehicle, Network lifetime."
Dealing with digital traces: Understanding protective behaviors on mobile devices,The Journal of Strategic Information Systems,2019,"Mobile information protection behaviors, Mobile information privacy, Theory of planned behavior, Information disclosure"
Context-aware System for Dynamic Privacy Risk Inference: Application to smart IoT environments,Future Generation Computer Systems,2019,"Privacy engineering, Privacy risk, Context-aware computing, Semantic reasoning, Ontology, Internet of Things"
An intersection-to-intersection travel time estimation and route suggestion approach using vehicular ad-hoc network,Ad Hoc Networks,2016,"Travel time estimation, Shortest travel time route suggestion, Advanced traveler information system, Vehicle ad-hoc network, Intelligent transportation system"
Human Factors Considerations for the Application of Augmented Reality in an Operational Railway Environment,Procedia Manufacturing,2015,"Augmented reality, Railway, Systems engineering, Human factors"
A holonic framework for managing the sustainable supply chain in emerging economies with smart connected metabolism,"Resources, Conservation and Recycling",2019,"Sustainable supply chain, Social metabolism, Circular economy, Holonic systems, Industry 4.0, Ecological network analysis"
A Novel Distance Measurement Approach Using Shape Matching in Narrow-Band Ultrasonic System,IFAC-PapersOnLine,2015,"Ultrasonic system, correlation, lateration, accuracy, indoor positioning"
Requirement Meta Model of a Cooperative Information System Oriented Viewpoints,Procedia Computer Science,2015,"viewpoints, needs analysis, requirements engineering, cooperative information system."
Arcades: A deep model for adaptive decision making in voice controlled smart-home,Pervasive and Mobile Computing,2018,"Smart-home, Decision system, Context-aware, Reinforcement learning, Deep learning"
Learning multi-level features for sensor-based human action recognition,Pervasive and Mobile Computing,2017,"Multi-level, Human action recognition, Latent pattern, High-level, Semantic"
The material politics of smart building energy management: A view from Sydney's commercial office space,Political Geography,2019,
Remote Monitoring and Control of an Electric Powered Wheelchair in an Assisted Living Environment,IFAC-PapersOnLine,2016,"Tele-Medicine, e-Health, Intelligent Homes, Ambient Intelligence, Ambient Assisted Living, Automatic Electric-Powered Wheelchair, Telematics Control, Monitoring"
A class of key-node indexed hash chains based key predistribution (KPS): Signed weighted graphs,Computer Networks,2019,"Key predistribution schemes, Ad hoc networks, Hash chains"
A risk-based framework for biomedical data sharing,Journal of Biomedical Informatics,2017,"Context-aware privacy, Biomedical data, Data disclosure control, Honest broker systems, Institutional review boards"
Agency and governance: Pokémon-Go and contested fun in public space,Geoforum,2018,"Pokémon Go, Software, Discourse analysis, Governance, Encounter, Technicity"
Intelligent multi-dose medication controller for fever: From wearable devices to remote dispensers,Computers & Electrical Engineering,2018,"Intelligent Medication Controller, Wearable data streams, Fever multi-dose analysis, Remote medication dispenser, Fuzzy logic"
Towards quality of experience determination for video in augmented binocular vision scenarios,Signal Processing: Image Communication,2015,"Augmented reality, Multimedia systems, Perceptual quality, Quality of experience, Quality of service"
Personalized thermal comfort inference using RGB video images for distributed HVAC control,Applied Energy,2018,"Energy efficiency, HVAC system, Personalized thermal comfort, Thermoregulation mechanism, Blood perfusion, Eulerian video magnification"
Analysis of Wayfinding Strategies of Blind People Using Tactile Maps,Procedia Manufacturing,2015,"Tactile map, Wayfinding, Ergonomic system, Public buildings"
Application-aware end-to-end delay and message loss estimation in Internet of Things (IoT) — MQTT-SN protocols,Future Generation Computer Systems,2018,"MQTT-SN, Publish/subscribe system, Pub-to-sub delay, Eclipse-Paho, Mosquitto, Android MQTT application"
Lightweight runtime checking of C programs with RTC,"Computer Languages, Systems & Structures",2016,"Runtime monitoring, Source code instrumentation, Static analysis, C, C++"
Cloud computing model selection for e-commerce enterprises using a new 2-tuple fuzzy linguistic decision-making method,Computers & Industrial Engineering,2019,"E-commerce, Cloud computing, TOE framework, 2-tuple fuzzy linguistic, Group decision-making"
BPH laboratories: A proof-of-concept case on integrating smartphone diagnostics into clinical systems,Health Policy and Technology,2015,"mHealth, Point-of-care (POC) diagnostics, Clinical workflow, e-charting, FDA mhealth policy"
Cryptographically Enforced Data Access Control in Personal Health Record Systems,Procedia Technology,2016,"PHR systems, attribute set based encryption, access control, user revocation, health cloud."
IoT data feature extraction and intrusion detection system for smart cities based on deep migration learning,International Journal of Information Management,2019,"Deep learning, Migration learning model, Sensor network, Smart City, Internet of things, Information feature extraction, Intrusion detection, machine learning"
CompanionViz: Mediated platform for gauging canine health and enhancing human–pet interactions,International Journal of Human-Computer Studies,2017,"Animal–Computer Interaction (ACI), Personal visualization, Quantified other, Canine, Animal wellbeing"
Developing a platform to evaluate and assess the security of wearable devices,Digital Communications and Networks,2019,"Bluetooth LE, Internet of things, Man-in-the-middle attacks, Security, Vulnerability discovery, Wearables"
Fast transfer Gaussian process regression with large-scale sources,Knowledge-Based Systems,2019,"Transfer learning, Large-scale, Gaussian process, Aggregation models, Edge intelligence"
"Food sharing, redistribution, and waste reduction via mobile applications: A social network analysis",Industrial Marketing Management,2019,"Food sharing, Food waste, Altruism, Reciprocity, Social network analysis, Sharing economy"
Promoting sustainability through behavior change: A review,Design Studies,2015,"design research, user behavior, design for behavior change"
A common-sense based system for Geo-IoT,Procedia Computer Science,2018,"Common sense, Smart building, Indoor spatial data models, OGC IndoorGML, Mapping, Modelling, IoT, Geo-IoT, Multi-Sensor Information System"
"The Urban CoBuilder – A mobile augmented reality tool for crowd-sourced simulation of emergent urban development patterns: Requirements, prototyping and assessment","Computers, Environment and Urban Systems",2018,"Urban design and planning, Emergent planning, Multi-stakeholder inclusion, Outdoor mobile augmented reality, Urban simulative game"
Adaptive Modelling of Trauma: Development and Recovery of Patients,Procedia Computer Science,2016,"Computational model, Trauma, PTSD, Hebbian learning, Group support."
Sensor Selection in Smart Homes,Procedia Computer Science,2015,"Sensor Selection, Activity Recognition, Information Gain, Smart Home"
Exploring Spatial Interaction in Assistive Technology Through Prototyping,Procedia Manufacturing,2015,"Tangible interaction, Spatial interaction, Elderly people, Assistive technology"
Designing digital fabrication learning environments for Bildung: Implications from ten years of physical computing workshops,International Journal of Child-Computer Interaction,2015,"Digital fabrication, Constructionism, Bildung, Education, Physical computing"
User role identification based on social behavior and networking analysis for information dissemination,Future Generation Computer Systems,2019,"User identification, User modeling, Social networking analysis, Social behavior, Information dissemination"
Smart cities: A conjuncture of four forces,Cities,2015,"Smart city, Policy, History, Market, Technology, Knowledge economy"
Signal to Noise Ratio Based Wi-Fi Offloading Decision Algorithm in Vehicular Networks,Procedia Computer Science,2018,"Cognitive radio, Wi-Fi, Access Points, SNR, Offloading, Vehicular networks"
Semantic-based privacy settings negotiation and management,Future Generation Computer Systems,2019,"Privacy Preference Manager, Privacy ontology, Data sharing and permission management, IoT"
A virtualization approach to develop middleware for ubiquitous high performance computing,Computers & Electrical Engineering,2015,"Middleware, Ubiquitous high performance computing, Virtualization, Concurrency control"
Preparing the software engineer for a modern multi-core world,Journal of Parallel and Distributed Computing,2018,"Software engineering, Concurrency, Parallel programming, Active learning, Research-infused learning, Problem-based learning, Soft skills, Graphical user interfaces, Object-oriented programming"
MnO2 as ink material for the fabrication of supercapacitor electrodes,Electrochimica Acta,2015,"Manganese oxide, supercapacitor, ink, sodium dodecylsulfate, surface charges"
Interacting With a Mobile Robot with a Natural Infrastructure-Less Interface,IFAC-PapersOnLine,2017,"Intelligent interfaces, Design methodology for HMS, Mobile robots, Guidance navigation, control, Work in real, virtual environments"
Affective Perception of Disposable Razors: A Kansei Engineering Approach,Procedia Manufacturing,2015,"Kansei Engineering, Emotional Design, Semantic Differential, Factor Analysis, Disposable Razor."
Just do it! Combining agent-based travel demand models with queue based-traffic flow models,Procedia Computer Science,2018,"agent-based modelling, traffic flow, travel demand, dynamic traffic assignment"
A data intensive heuristic approach to the two-stage streaming scheduling problem,Journal of Computer and System Sciences,2017,"Data intensive computing, Scheduling, Makespan, NP-hard"
"e-Skills Match: A framework for mapping and integrating the main skills, knowledge and competence standards and models for ICT occupations",Computer Standards & Interfaces,2017,"Competences, Skills, Occupation, ICT, Standard, Framework"
A new strategy for improving cyber-attacks evaluation in the context of Tallinn Manual,Computers & Security,2018,"International law, Multiple attribute decision making, Cyber-attack, Cyber operation, Cyber warfare, Critical information infrastructure"
Physical dimensions of children's touchscreen interactions: Lessons from five years of study on the MTAGIC project,International Journal of Human-Computer Studies,2019,"Child-computer interaction, Touchscreen, Gesture interaction, Gesture recognition, MTAGIC"
A high-level semantic approach to End-User Development in the Internet of Things,International Journal of Human-Computer Studies,2019,"End-User Development, Internet of Things, Trigger-action programming, Semantic Web, Abstraction"
Context-aware services delivery framework for interactive mobile advertisement,Computer Communications,2017,"Mobile advertising, Context, Cloud messaging, Interactive advertising"
Semi-automated approach to indoor mapping for 3D as-built building information modeling,"Computers, Environment and Urban Systems",2015,"Building information modeling, Indoor mapping, LiDAR, Point clouds, Regularization, Pseudo point"
Development of an automated modeler of environment and energy geographic information (E-GIS) for ecofriendly city planning,Automation in Construction,2016,"Climate change, Low-carbon green city, Urban planning support system (PSS), Environment and energy planning, Existing and planned city, Data integration, Automation"
TAPAS: A tangible End-User Development tool supporting the repurposing of Pervasive Displays,Journal of Visual Languages & Computing,2017,"End-User Development, Tangible User Interface, Natural User Interface, Pervasive Displays, Tangible Programming"
Probabilistic connectivity threshold for directional antenna widths,Theoretical Computer Science,2015,"Wireless networks, Directional antennas, Connectivity threshold"
The privacy–personalization paradox in mHealth services acceptance of different age groups,Electronic Commerce Research and Applications,2016,"mHealth services, Privacy–personalization paradox, Trust, Adoption intention, Age differences"
"TeknoRoadmap, an approach for depicting emerging technologies",Technological Forecasting and Social Change,2017,"Technology forecasting, Bibliometrics, Technology roadmapping, Data mining, Web content mining, Cloud computing"
Employing a data mining approach for identification of mobile opinion leaders and their content usage patterns in large telecommunications datasets,Technological Forecasting and Social Change,2018,"Data mining, Mobile service, Mobile opinion leader, Web content usage patterns"
Is the smartwatch an IT product or a fashion product? A study on factors affecting the intention to use smartwatches,Computers in Human Behavior,2016,"Smartwatch, Adoption, TAM, Wearable, Fashion"
"Mobile ubiquity: Understanding the relationship between cognitive absorption, smartphone addiction and social network services",Computers in Human Behavior,2019,"Mobile ubiquity, Technology addiction, Problematic smartphone usage, User perceptions, Demographic factors"
The Smart City and other ICT-led techno-imaginaries: Any room for dialogue with Degrowth?,Journal of Cleaner Production,2018,"Smart City, Technology, Degrowth, Urban transformation, Digital open-source fabrication, ICT"
"Mobile storage augmentation in mobile cloud computing: Taxonomy, approaches, and open issues",Simulation Modelling Practice and Theory,2015,"Mobile cloud computing, Cloud computing, Big data, Mobile data, Mobile data storage, Taxonomy"
AFT: Adaptive and fault tolerant peer-to-peer overlay—A user-centric solution for data sharing,Future Generation Computer Systems,2018,"Peer-to-peer overlay, User-centric networks, Data sharing, Fault tolerance, Adaptability"
Usability evaluation of adaptive features in smartphones,Procedia Computer Science,2017,"Usability patterns, adaptive mobile feature, smartphone, user experience, user satisfaction, user interface"
"When social objects collaborate: Concepts, processing elements, attacks and challenges",Computers & Electrical Engineering,2017,"Social internet of things, Social collaborative internet of things, Objects social relationship, Trust and reputation management"
FastDesk: A remote desktop virtualization system for multi-tenant,Future Generation Computer Systems,2018,"Remote desktop virtualization, Remote display, Virtualization system"
Deepdiary: Lifelogging image captioning and summarization,Journal of Visual Communication and Image Representation,2018,"Lifelogging, First-person, Image captioning, Diary, Privacy"
Privacy Enhancing Technologies implementation: An investigation of its impact on work processes and employee perception,Telematics and Informatics,2019,"Privacy Enhancing Technologies, Information privacy, Work process change, Personal data protection, Technology implementation, Mobile telecommunications, Privacy by Design, Perception"
The effects of attacker identity and individual user characteristics on the value of information privacy,Computers in Human Behavior,2016,"Multi-attribute utility, Trade-off preference, Privacy concern, Privacy attacker identity"
Modelling elderly cardiac patients decision making using Cognitive Work Analysis: Identifying requirements for patient decision aids,International Journal of Medical Informatics,2015,"Patient decision making, Decision aids design, DA requirements, Cognitive Work Analysis, Self-management"
Situation awareness and computational intelligence in opportunistic networks to support the data transmission of urban sensing applications,Computer Networks,2016,"Smart cities, Urban sensing, Opportunistic networks, Situation awareness, Computational intelligence"
Centralization or decentralization? A review on the effects of information and communication technology on urban spatial structure,Cities,2018,"Urban spatial structure, Information and communication technology, Decentralization, Centralization, Literature review"
"Synchromodal logistics: An overview of critical success factors, enabling technologies, and open research issues",Transportation Research Part E: Logistics and Transportation Review,2019,"Synchromodality, Logistics service providers, ICT/ITS technologies, Fifth-party logistics, Integration platform"
AUPS: An Open Source AUthenticated Publish/Subscribe system for the Internet of Things,Information Systems,2016,"Internet of Things, Security, Publish & Subscribe, MQTT, Middleware, Prototype"
“It’s all about the start” classifying eyes-free mobile authentication techniques,Journal of Information Security and Applications,2018,"Authentication, Eyes free, Unlock authentication, Non-visual"
Understanding mobile technology-fit behaviors outside the classroom,Computers & Education,2015,"Mobile technology, m-Learning, Collaborative learning, Learning behaviors"
Mining top-k Regular Episodes from Sensor Streams,Procedia Computer Science,2015,"Data mining, Activities of Daily Living, Episode discovery, Data stream, Sliding window, Regularity"
Survey of challenges and towards a unified architecture for location systems,Journal of Network and Computer Applications,2016,"Localization, Positioning, Survey, Challenges, Architecture"
