Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Related-tweakey impossible differential attack on reduced-round Deoxys-BC-256","Science China Information Sciences","","62","3","10.1007/s11432-017-9382-2","Rui ZongXiaoyang DongXiaoyun Wang","2019","http://link.springer.com/article/10.1007/s11432-017-9382-2","Article"
"A Study on Debugging Method for Engineering Software Using Marshalling in Restricted Environment","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_41","NamHyun Yoo","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_41","Chapter"
"Fixed-time Synchronization of Complex-valued Memristive BAM Neural Network and Applications in Image Encryption and Decryption","International Journal of Control, Automation and Systems","","","","10.1007/s12555-018-0676-7","Yongzhen GuoYang LuoWeiping WangXiong LuoChao GeJürgen KurthsManman YuanYang Gao","2019","http://link.springer.com/article/10.1007/s12555-018-0676-7","Article"
"A trust-based detection scheme to explore anomaly prevention in social networks","Knowledge and Information Systems","","60","3","10.1007/s10115-018-1276-9","Xu Wu","2019","http://link.springer.com/article/10.1007/s10115-018-1276-9","Article"
"Enhanced Buying Experiences in Smart Cities: The SMARTBUY Approach","Ambient Intelligence","","","","10.1007/978-3-030-34255-5_8","Lorena BourgThomas ChatzidimitrisIoannis ChatzigiannakisDamianos GavalasKalliopi GiannakopoulouVlasios KasapakisCharalampos KonstantopoulosDamianos KypriadisGrammati PantziouChristos Zaroliagis","2019","http://link.springer.com/chapter/10.1007/978-3-030-34255-5_8","Chapter"
"IoT-Based Automatic Non-conformity Detection: A Metalworking SME Use Case","Enterprise Interoperability VIII","","","","10.1007/978-3-030-13693-2_13","Maria MarquesAdriana CunhaWael M. MohammedRicardo Jardim-GonçalvesCarlos Agostinho","2019","http://link.springer.com/chapter/10.1007/978-3-030-13693-2_13","Chapter"
"Blood4Life: A Mobile Solution to Recruit and Retain Blood Donors Through Gamification and Trans-Theoretical Model","New Knowledge in Information Systems and Technologies","","","","10.1007/978-3-030-16187-3_1","Lamyae SardiManal KharbouchTaoufik RachadAli IdriJuan Manuel Carillo de GeaJosé Luis Fernández-Alemán","2019","http://link.springer.com/chapter/10.1007/978-3-030-16187-3_1","Chapter"
"Would I Lie to You - Would You Notice?","Mobile Computing, Applications, and Services","","","","10.1007/978-3-030-28468-8_17","Felix HuppertMatthias KranzGerold Hoelzl","2019","http://link.springer.com/chapter/10.1007/978-3-030-28468-8_17","Chapter"
"Collaborative cross-layer framework for handover decision in overlay networks","Telecommunication Systems","","","","10.1007/s11235-019-00604-5","Fatma A. Al EmamMohamed E. NasrSherif E. Kishk","2019","http://link.springer.com/article/10.1007/s11235-019-00604-5","Article"
"A smart power saving protocol for IoT with wireless energy harvesting technique","Cluster Computing","","22","2","10.1007/s10586-018-2148-5","S. MadhurikkhaR. Sabitha","2019","http://link.springer.com/article/10.1007/s10586-018-2148-5","Article"
"Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons","Science and Engineering Ethics","","","","10.1007/s11948-019-00086-3","John HarlowNadir WeibelRasheed Al KotobVincent ChanCinnamon BlossRubi Linares-OrozcoMichelle TakemotoCamille Nebeker","2019","http://link.springer.com/article/10.1007/s11948-019-00086-3","Article"
"Generic Architecture for Lightweight Block Ciphers: A First Step Towards Agile Implementation of Multiple Ciphers","Information Security Theory and Practice","","","","10.1007/978-3-030-20074-9_4","Etienne TehraniJean-Luc DangerTarik Graba","2019","http://link.springer.com/chapter/10.1007/978-3-030-20074-9_4","Chapter"
"Secure routing in mobile Ad hoc networks: a predictive approach","International Journal of Information Technology","","11","2","10.1007/s41870-018-0188-y","Aneri Mukeshbhai DesaiRutvij H. Jhaveri","2019","http://link.springer.com/article/10.1007/s41870-018-0188-y","Article"
"Collision Avoidance and Path Following Control of Unmanned Aerial Vehicle in Hazardous Environment","Journal of Intelligent & Robotic Systems","","95","1","10.1007/s10846-018-0929-y","Zhixiang LiuYoumin ZhangChi YuanLaurent CiarlettaDidier Theilliol","2019","http://link.springer.com/article/10.1007/s10846-018-0929-y","Article"
"Analytics in real time surveillance video using two-bit transform accelerative regressive frame check","Multimedia Tools and Applications","","","","10.1007/s11042-019-7526-3","Gunasekaran ManogaranS. BaskarP. Mohamed ShakeelNaveen ChilamkurtiR. Kumar","2019","http://link.springer.com/article/10.1007/s11042-019-7526-3","Article"
"Testing tools for Android context-aware applications: a systematic mapping","Journal of the Brazilian Computer Society","","25","1","10.1186/s13173-019-0093-7","Diego R. AlmeidaPatrícia D. L. MachadoWilkerson L. Andrade","2019","http://link.springer.com/article/10.1186/s13173-019-0093-7","Article"
"Virtual machine placement with (m, n)-fault tolerance in cloud data center","Cluster Computing","","22","5","10.1007/s10586-017-1426-y","Ao ZhouShangguang WangChing-Hsien HsuMyung Ho KimKok-seng Wong","2019","http://link.springer.com/article/10.1007/s10586-017-1426-y","Article"
"Automatic search method for multiple differentials and its application on MANTIS","Science China Information Sciences","","62","3","10.1007/s11432-018-9658-0","Shiyao ChenRu LiuTingting CuiMeiqin Wang","2019","http://link.springer.com/article/10.1007/s11432-018-9658-0","Article"
"Improve VLC LiFi Performance for V2V Communication","Cyber-physical Systems and Digital Twins","","","","10.1007/978-3-030-23162-0_29","Cristian-Ovidiu IvascuDoru UrsutiuCornel Samoila","2020","http://link.springer.com/chapter/10.1007/978-3-030-23162-0_29","Chapter"
"Feed Forward Classification Neural Network for Prediction of Human Affective States Using Continuous Multi Sensory Data Acquisition","Advances in Soft Computing","","","","10.1007/978-3-030-33749-0_9","Andrés RicoLeonardo Garrido","2019","http://link.springer.com/chapter/10.1007/978-3-030-33749-0_9","Chapter"
"Prosumers’ Digital Business Models for Electric Vehicles: Exploring Microfoundations for a Balanced Policy Approach","Digital Business Models","","","","10.1007/978-3-319-96902-2_9","Saku J. MäkinenJussi ValtaKirsi KotilainenUlla A. Saari","2019","http://link.springer.com/chapter/10.1007/978-3-319-96902-2_9","Chapter"
"Smart, Affective, and Playable Cities","Interactivity, Game Creation, Design, Learning, and Innovation","","","","10.1007/978-3-030-06134-0_17","Anton Nijholt","2019","http://link.springer.com/chapter/10.1007/978-3-030-06134-0_17","Chapter"
"Continuous authentication consoles in mobile ad hoc network (MANET)","Cluster Computing","","22","4","10.1007/s10586-017-1386-2","D. RamkumarC. AnnaduraiK. Nirmaladevi","2019","http://link.springer.com/article/10.1007/s10586-017-1386-2","Article"
"CAMP: cluster aided multi-path routing protocol for wireless sensor networks","Wireless Networks","","25","5","10.1007/s11276-018-1689-0","Mohit SajwanDevashish GosainAjay K. Sharma","2019","http://link.springer.com/article/10.1007/s11276-018-1689-0","Article"
"Man as ‘aggregate of data’","AI & SOCIETY","","34","2","10.1007/s00146-018-0852-6","Sjoukje van der MeulenMax Bruinsma","2019","http://link.springer.com/article/10.1007/s00146-018-0852-6","Article"
"OpenPaaS::NG: A Cloud-Based Interoperable Enterprise Platform to Support Inter-organizational Collaborations","Enterprise Interoperability VIII","","","","10.1007/978-3-030-13693-2_9","Sarah ZribiJean-Pierre Lorré","2019","http://link.springer.com/chapter/10.1007/978-3-030-13693-2_9","Chapter"
"A Hybrid Flower-Grey Wolf Optimizer Based Home Energy Management in Smart Grid","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_4","PamirNadeem JavaidAttiq ullah KhanSyed Muhammad MohsinYasir Khan JadoonOrooj Nazeer","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_4","Chapter"
"The Influence of U.S. FED’s Interest Rate-Raising Event Announcements on the Abnormal Returns in the Taiwan Stock Market","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_77","Xiao-Hong LinKuei-Yuan WangChien-Kuo HanYu-Sin HuangYi-Chi LiaoTzu-Yun TingTing-Shiuan Fang","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_77","Chapter"
"Classifying Serious Depression Based on Blood Test: A Machine Learning Approach","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_20","Hyunhee Park","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_20","Chapter"
"Interactive web interfaces modeling, simulation and analysis using Colored Petri Nets","Software & Systems Modeling","","18","1","10.1007/s10270-017-0593-x","Taffarel Brant-RibeiroRafael D. AraújoIgor E. MendonçaMichel S. SoaresRenan G. Cattelan","2019","http://link.springer.com/article/10.1007/s10270-017-0593-x","Article"
"Related-key impossible differential cryptanalysis on lightweight cipher TWINE","Journal of Ambient Intelligence and Humanized Computing","","10","2","10.1007/s12652-017-0675-1","Yuechuan WeiPeng XuYisheng Rong","2019","http://link.springer.com/article/10.1007/s12652-017-0675-1","Article"
"A Big Data and Visual Analytics System for Port Risk Warning","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_38","Jie SongYinsheng LiXu Liang","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_38","Chapter"
"Software Test Effort Estimation Based on Source Code Change History and Defect Information","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_38","Jongse WonYeong-Seok Seo","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_38","Chapter"
"A Smart Contract-Based Risk Warning Blockchain Symbiotic System for Cross-border Products","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_20","Bin WuYinsheng LiXu Liang","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_20","Chapter"
"Design of a sports culture data fusion system based on a data mining algorithm","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01273-6","Lan Zhang","2019","http://link.springer.com/article/10.1007/s00779-019-01273-6","Article"
"Markerless Indoor Augmented Reality Navigation Device Based on Optical-Flow-Scene Indoor Positioning and Wall-Floor-Boundary Image Registration","New Trends in Computer Technologies and Applications","","","","10.1007/978-981-13-9190-3_10","Wen-Shan LinChian C. Ho","2019","http://link.springer.com/chapter/10.1007/978-981-13-9190-3_10","Chapter"
"Designing with Data. Anticipating the Impact of Personal Data Usage on Individuals and Society","Intelligent Human Systems Integration 2019","","","","10.1007/978-3-030-11051-2_133","Laura VariscoSara ColomboFederico Casalegno","2019","http://link.springer.com/chapter/10.1007/978-3-030-11051-2_133","Chapter"
"Design Labs for Data-Driven Multivalence","Data-driven Multivalence in the Built Environment","","","","10.1007/978-3-030-12180-8_10","Mathias Funk","2020","http://link.springer.com/chapter/10.1007/978-3-030-12180-8_10","Chapter"
"Toward a ubiquitous model to assist the treatment of people with depression","Universal Access in the Information Society","","","","10.1007/s10209-019-00697-4","Milene Martini PetryJorge Luis Victória BarbosaSandro José RigoLucas Pfeiffer Salomão DiasPaulo César Büttenbender","2019","http://link.springer.com/article/10.1007/s10209-019-00697-4","Article"
"A4WSN: an architecture-driven modelling platform for analysing and developing WSNs","Software & Systems Modeling","","18","4","10.1007/s10270-018-0687-0","Ivano MalavoltaLeonardo MostardaHenry MucciniEnver EverKrishna DoddapaneniOrhan Gemikonakli","2019","http://link.springer.com/article/10.1007/s10270-018-0687-0","Article"
"Cross-layer based routing protocol and solution to packet reordering for TCP in MANET","Cluster Computing","","22","5","10.1007/s10586-017-1179-7","Dodda SunithaAitha NagarajuGugulothu Narsimha","2019","http://link.springer.com/article/10.1007/s10586-017-1179-7","Article"
"Cross Domain Recommendations Based on the Application of Fuzzy AHP and Fuzzy Inference Method in Establishing Transdisciplinary Collaborations","Computational and Experimental Simulations in Engineering","","","","10.1007/978-3-030-27053-7_36","Maslina Binti ZolkepliTeh Noranis Binti Mohd. Aris","2020","http://link.springer.com/chapter/10.1007/978-3-030-27053-7_36","Chapter"
"Event Detection Using Twitter Platform","Digital Business","","","","10.1007/978-3-319-93940-7_18","Anuradha GoswamiAjey Kumar","2019","http://link.springer.com/chapter/10.1007/978-3-319-93940-7_18","Chapter"
"Malware Classification Using Machine Learning","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_48","JinSu KangYoojae Won","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_48","Chapter"
"Network health monitoring method based on multimodal spatiotemporal correlation fuzzy inference","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01263-8","Yu ChenXinling WenJarong ChouNengjie ZhuShaojun HuShuai Liao","2019","http://link.springer.com/article/10.1007/s00779-019-01263-8","Article"
"Performance analysis of clustering-based fingerprinting localization systems","Wireless Networks","","25","5","10.1007/s11276-018-1682-7","Pampa Sadhukhan","2019","http://link.springer.com/article/10.1007/s11276-018-1682-7","Article"
"Systematically Dealing Practical Issues Associated to Healthcare Data Analytics","Advances in Information and Communication","","","","10.1007/978-3-030-12388-8_42","Zeeshan AhmedBruce T. Liang","2020","http://link.springer.com/chapter/10.1007/978-3-030-12388-8_42","Chapter"
"Quantum cryptanalysis on some generalized Feistel schemes","Science China Information Sciences","","62","2","10.1007/s11432-017-9436-7","Xiaoyang DongZheng LiXiaoyun Wang","2019","http://link.springer.com/article/10.1007/s11432-017-9436-7","Article"
"A Data Acquisition and Processing Scheme Based on Edge Calculation","The 8th International Conference on Computer Engineering and Networks (CENet2018)","","","","10.1007/978-3-030-14680-1_25","Yanqin MaoJiaYan MaoZhenyu WuSubin Shen","2020","http://link.springer.com/chapter/10.1007/978-3-030-14680-1_25","Chapter"
"An active and dynamic credit reporting system for SMEs in China","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01275-4","Yunchuan SunXiaoping ZengXuegang CuiGuangzhi ZhangRongfang Bie","2019","http://link.springer.com/article/10.1007/s00779-019-01275-4","Article"
"Spam detection in social media using convolutional and long short term memory neural network","Annals of Mathematics and Artificial Intelligence","","85","1","10.1007/s10472-018-9612-z","Gauri JainManisha SharmaBasant Agarwal","2019","http://link.springer.com/article/10.1007/s10472-018-9612-z","Article"
"Residual Reversal Strategy: Empirical Evidence in the Taiwan Stock Market","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_66","Shyh-Weir TzangChun-Ping ChangYong Zulina ZubairiYung-Shun Tsai","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_66","Chapter"
"VariSecure: Facial Appearance Variance based Secure Device Pairing","Mobile Networks and Applications","","","","10.1007/s11036-019-01330-7","Zhiping JiangChen QianKun ZhaoShuaiyu ChenRui LiXu WangChen HeJunzhao Du","2019","http://link.springer.com/article/10.1007/s11036-019-01330-7","Article"
"Speed up random walk by leveraging community affiliation information","CCF Transactions on Pervasive Computing and Interaction","","","","10.1007/s42486-019-00021-2","Naian YinYachao LuNan Zhang","2019","http://link.springer.com/article/10.1007/s42486-019-00021-2","Article"
"A comprehensive survey on network anomaly detection","Telecommunication Systems","","70","3","10.1007/s11235-018-0475-8","Gilberto Fernandes Jr.Joel J. P. C. RodriguesLuiz Fernando CarvalhoJalal F. Al-MuhtadiMario Lemes Proença Jr.","2019","http://link.springer.com/article/10.1007/s11235-018-0475-8","Article"
"Network Anomaly Detection Using Artificial Neural Networks Optimised with PSO-DE Hybrid","Security in Computing and Communications","","","","10.1007/978-981-13-5826-5_19","K. RitheshAdwaith V. GauthamK. Chandra Sekaran","2019","http://link.springer.com/chapter/10.1007/978-981-13-5826-5_19","Chapter"
"Holonification model for a multilevel agent-based system","Personal and Ubiquitous Computing","","23","5 - 6","10.1007/s00779-018-1181-y","Igor Haman TchappiStéphane GallandVivient Corneille KamlaJean-Claude KamgangCyrille Merleau S. NonoHui Zhao","2019","http://link.springer.com/article/10.1007/s00779-018-1181-y","Article"
"PSP: proximity-based secure pairing of mobile devices using WiFi signals","Wireless Networks","","25","2","10.1007/s11276-017-1588-9","Weirong CuiChenglie DuJinchao Chen","2019","http://link.springer.com/article/10.1007/s11276-017-1588-9","Article"
"Routing in Wireless Sensor Networks Using Optimization Techniques: A Survey","Wireless Personal Communications","","","","10.1007/s11277-019-06993-9","Zaher Al AghbariAhmed M. KhedrWalid OsamyIfra ArifDharma P. Agrawal","2019","http://link.springer.com/article/10.1007/s11277-019-06993-9","Article"
"Mapping of topics in DESIDOC Journal of Library and Information Technology, India: a study","Scientometrics","","120","2","10.1007/s11192-019-03137-5","Manika LambaMargam Madhusudhan","2019","http://link.springer.com/article/10.1007/s11192-019-03137-5","Article"
"Development of Usable Communication Reasoning System Using Connection Information for Efficient Conversion of Connection","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_28","Taehoon KohYonghoon KimKamyoung ParkKyungryong Seo","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_28","Chapter"
"A Study of a Common Network Behavior Detection System Using Remote Live Forensics","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_50","Jeonghoon SeoYoojae Won","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_50","Chapter"
"A UAV Path Planning Method Using Polynomial Regression for Remote Sensor Data Collection","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_74","Kwang Min KooKyung Rak LeeSung Ryung ChoInwhee Joe","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_74","Chapter"
"Parking Occupancy Detection: A Lightweight Deep Neural Network Approach","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_78","Chin-Kit NgSoon-Nyean CheongYee-Loo Foo","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_78","Chapter"
"Real Time Message Process Framework for Efficient Multi Business Domain Routing","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_47","KyoEun KimDongBum SeoYou-Boo JeonSeong-Soo HanDoo-Soon ParkChang-Sung Jeong","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_47","Chapter"
"A Study of Open Big-Data Platform Architecture for Housing Market Analysis","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_14","Sang-Hun LeeJeong-Ran YunTae-Gyun KimJung-Min Oh","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_14","Chapter"
"A Tamper-Proof Digital Archiving Scheme Based on Blockchain","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_24","Euihyun Jung","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_24","Chapter"
"Towards Self-automatable and Unambiguous Smart Contracts: Machine Natural Language","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_34","Peng QinJingzhi GuoBingqing ShenQuanyi Hu","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_34","Chapter"
"Affective social big data generation algorithm for autonomous controls by CRNN-based end-to-end controls","Multimedia Tools and Applications","","78","19","10.1007/s11042-019-7703-4","Jeonghoon KwakJong Hyuk ParkYunsick Sung","2019","http://link.springer.com/article/10.1007/s11042-019-7703-4","Article"
"Study on large-scale crowd evacuation method in cultural museum using mutation prediction RFID","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01256-7","Ke MaPan ZhangZhiyuan Mao","2019","http://link.springer.com/article/10.1007/s00779-019-01256-7","Article"
"Knowledge-based single-tone digital filter implementation for DSP systems","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01304-2","R. SeshadriS. RamakrishnanJ. Satheesh Kumar","2019","http://link.springer.com/article/10.1007/s00779-019-01304-2","Article"
"Optimal Distribution of Privacy Budget in Differential Privacy","Risks and Security of Internet and Systems","","","","10.1007/978-3-030-12143-3_18","Anis BkakriaAimilia TasidouNora Cuppens-BoulahiaFrédéric CuppensFatma BouattourFeten Ben Fredj","2019","http://link.springer.com/chapter/10.1007/978-3-030-12143-3_18","Chapter"
"The Unfolding and Soaring Data Deluge for Transforming Smart Sustainable Urbanism: Data-Driven Urban Studies and Analytics","Big Data Science and Analytics for Smart Sustainable Urbanism","","","","10.1007/978-3-030-17312-8_9","Simon Elias Bibri","2019","http://link.springer.com/chapter/10.1007/978-3-030-17312-8_9","Chapter"
"Developing 3D Annotation Features for 3D Digital Textbooks","Big Data Applications and Services 2017","","","","10.1007/978-981-13-0695-2_12","Jin-Uk JeongGae-A RyuMihye KimKwan-Hee Yoo","2019","http://link.springer.com/chapter/10.1007/978-981-13-0695-2_12","Chapter"
"Deep learning convolutional neural network (CNN) With Gaussian mixture model for predicting pancreatic cancer","Multimedia Tools and Applications","","","","10.1007/s11042-019-7419-5","Kaushik SekaranP. ChandanaN. Murali KrishnaSeifedine Kadry","2019","http://link.springer.com/article/10.1007/s11042-019-7419-5","Article"
"Customer Experience Analytics in Insurance: Trajectory, Service Interaction and Contextual Data","Information Technology and Systems","","","","10.1007/978-3-030-11890-7_19","Gilles BeaudonEddie Soulier","2019","http://link.springer.com/chapter/10.1007/978-3-030-11890-7_19","Chapter"
"Software Reuse and Product Line Engineering","Handbook of Software Engineering","","","","10.1007/978-3-030-00262-6_8","Eduardo Santana de Almeida","2019","http://link.springer.com/chapter/10.1007/978-3-030-00262-6_8","Chapter"
"Sinkhole Attacks in Wireless Sensor Networks: A Survey","Wireless Personal Communications","","106","4","10.1007/s11277-018-6040-7","Aqeel-ur RehmanSadiq Ur RehmanHaris Raheem","2019","http://link.springer.com/article/10.1007/s11277-018-6040-7","Article"
"Citizens of Play: Revisiting the Relationship Between Playable and Smart Cities","Making Smart Cities More Playable","","","","10.1007/978-981-13-9765-3_2","Troy Innocent","2020","http://link.springer.com/chapter/10.1007/978-981-13-9765-3_2","Chapter"
"STB: space time boxes","CCF Transactions on Pervasive Computing and Interaction","","1","2","10.1007/s42486-019-00006-1","Dakshi AgrawalRaghu GantiJeff JonasMudhakar Srivatsa","2019","http://link.springer.com/article/10.1007/s42486-019-00006-1","Article"
"e-SCP-ECG+v2 Protocol: Expanding the e-SCP-ECG+ Protocol","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_13","George J. MandellosMaria PapaioannouTheodor PanagiotakopoulosDimitrios K. Lymberopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_13","Chapter"
"Location recommendation privacy protection method based on location sensitivity division","EURASIP Journal on Wireless Communications and Networking","","2019","1","10.1186/s13638-019-1606-y","Chunyong YinXiaokang JuZhichao YinJin Wang","2019","http://link.springer.com/article/10.1186/s13638-019-1606-y","Article"
"On the Constructions of Bigraphical Categories","Cyberspace Data and Intelligence, and Cyber-Living, Syndrome, and Health","","","","10.1007/978-981-15-1922-2_17","Dong XuXiaojun Li","2019","http://link.springer.com/chapter/10.1007/978-981-15-1922-2_17","Chapter"
"Detecting sensitive data leakage via inter-applications on Android using a hybrid analysis technique","Cluster Computing","","22","1","10.1007/s10586-017-1260-2","Nguyen Tan CamVan-Hau PhamTuan Nguyen","2019","http://link.springer.com/article/10.1007/s10586-017-1260-2","Article"
"Identifying Mobility of Drug Addicts with Multilevel Spatial-Temporal Convolutional Neural Network","Advances in Knowledge Discovery and Data Mining","","","","10.1007/978-3-030-16148-4_37","Canghong JinHaoqiang LiangDongkai ChenZhiwei LinMinghui Wu","2019","http://link.springer.com/chapter/10.1007/978-3-030-16148-4_37","Chapter"
"Cognitive Wireless Sensor Network for Elderly Home Healthcare","Wireless Personal Communications","","107","4","10.1007/s11277-019-06358-2","R. PrakashA. Balaji Ganesh","2019","http://link.springer.com/article/10.1007/s11277-019-06358-2","Article"
"Supporting asymmetric interaction in the age of social media","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-019-01641-3","Felipe RodríguezSergio F. OchoaFrancisco J. Gutierrez","2019","http://link.springer.com/article/10.1007/s12652-019-01641-3","Article"
"Clustering-Anonymity Method for Privacy Preserving Table Data Sharing","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_29","Liping LiuChunhui PiaoHuirui Cao","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_29","Chapter"
"A Component-Based Method for Developing Cross-Platform User Interfaces for Mobile Applications","Fourth International Congress on Information and Communication Technology","","","","10.1007/978-981-15-0637-6_17","Marek BeranekVladimir Kovar","2020","http://link.springer.com/chapter/10.1007/978-981-15-0637-6_17","Chapter"
"Searching Activity Trajectories with Semantics","Journal of Computer Science and Technology","","34","4","10.1007/s11390-019-1942-8","Li-Hua YinHuiwen Liu","2019","http://link.springer.com/article/10.1007/s11390-019-1942-8","Article"
"Model Checking for Turn-Based Probability Epistemic Game Structure","Human Centered Computing","","","","10.1007/978-3-030-15127-0_25","Guocheng ZhengPin WangXinyu ZhangChuan ZhangMengao LiYuxiao YangWeifeng Xu","2019","http://link.springer.com/chapter/10.1007/978-3-030-15127-0_25","Chapter"
"A proof of the Beierle–Kranz–Leander conjecture related to lightweight multiplication in 
              
                
              
              $$\mathbb {F}_{2^n}$$
              
                
                  
                    F
                    
                      2
                      n","Designs, Codes and Cryptography","","","","10.1007/s10623-019-00665-2","Sihem MesnagerKwang Ho KimDujin JoJunyop ChoeMunhyon HanDok Nam Lee","2019","http://link.springer.com/article/10.1007/s10623-019-00665-2","Article"
"Cross-reality environments in smart buildings to advance STEM cyberlearning","International Journal on Interactive Design and Manufacturing (IJIDeM)","","13","1","10.1007/s12008-019-00546-x","Raffaele De AmicisMariapaola RiggioArash Shahbaz BadrJason FickChristopher A. SanchezEric Andrew Prather","2019","http://link.springer.com/article/10.1007/s12008-019-00546-x","Article"
"Diffusion Distance-Based Predictive Tracking for Continuous Objects in Industrial Wireless Sensor Networks","Mobile Networks and Applications","","24","3","10.1007/s11036-018-1029-8","Li LiuGuangjie HanJiawei ShenWenbo ZhangYuxin Liu","2019","http://link.springer.com/article/10.1007/s11036-018-1029-8","Article"
"Consistency in Multi-device Environments: A Case Study","Intelligent Computing","","","","10.1007/978-3-030-22871-2_17","Luis Martín Sánchez-AdameSonia MendozaAmilcar Meneses ViverosJosé Rodríguez","2019","http://link.springer.com/chapter/10.1007/978-3-030-22871-2_17","Chapter"
"An effective positive transmission routing algorithm based on social relationships in opportunistic social networks","Peer-to-Peer Networking and Applications","","","","10.1007/s12083-019-00767-7","Peng ZhengHongxiao FeiYeqing Yan","2019","http://link.springer.com/article/10.1007/s12083-019-00767-7","Article"
"A Genetic Algorithm Approach to Context-Aware Recommendations Based on Spatio-temporal Aspects","Integrated Intelligent Computing, Communication and Security","","","","10.1007/978-981-10-8797-4_7","Sonal LindaK. K. Bharadwaj","2019","http://link.springer.com/chapter/10.1007/978-981-10-8797-4_7","Chapter"
"Cross-Layer Architecture Applied to Geospatial Information Communication in Embedded Systems","Telematics and Computing","","","","10.1007/978-3-030-33229-7_2","Luis Angel Camacho CamposDavid Araujo DiazJesus Alfredo Martinez Nuño","2019","http://link.springer.com/chapter/10.1007/978-3-030-33229-7_2","Chapter"
"A Method of Intelligent Dynamic Monitoring for Real-Time Data Streaming Processing Systems","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_73","Onur SoyerKwan Young Park","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_73","Chapter"
"Adapting HTML5 Web applications to user privacy preferences","World Wide Web","","22","5","10.1007/s11280-018-0628-4","Georgia M. KapitsakiTheodoros Charalambous","2019","http://link.springer.com/article/10.1007/s11280-018-0628-4","Article"
"Tackling Critical Challenges towards Efficient CyberPhysical Components & Services Interconnection: The ATLAS CPS Platform Approach","Journal of Signal Processing Systems","","91","11 - 12","10.1007/s11265-018-1436-x","Christos P. AntonopoulosKonstantinos AntonopoulosChristos PanagiotouNikolaos S. Voros","2019","http://link.springer.com/article/10.1007/s11265-018-1436-x","Article"
"Understanding the Factors Influencing Mobile Commerce Adoption by Traders in Developing Countries: Evidence from Ghana","ICT Unbounded, Social Impact of Bright ICT Adoption","","","","10.1007/978-3-030-20671-0_8","Mercy KwofieJoseph Kwame Adjei","2019","http://link.springer.com/chapter/10.1007/978-3-030-20671-0_8","Chapter"
